ID,kategori,isi_laporan,sentimen
81,Fisik,Anak saya sedang pulang sekolah tiba-tiba terkena celurit dari tawuran sekolah. Sekarang keadaannya sedang koma,High
82,Fisik,"Papa suka banget menganiaya aku, akhirnya kemarin aku sama om ke rumah sakit, ternyata tulang ekor aku bermasalah",Low
83,Fisik,"Saya sudah menjadi janda, mantan suami saya sampai sekarang masih suka menganiaya saya",Low
84,Fisik,Tetangga saya bunuh diri di rel kereta karena sering dianiaya suaminya,Low
85,Fisik,Suami saya sering menyiksa saya hingga berdarah,Low
86,Fisik,Aku gatau kenapa ibu suka banget main tangan kalau aku ga dapet nilai yang bagus,Low
87,Fisik,"Sekarang terbukti bahwa suami saya menganiaya saya dan anak dengan balok. Kepala, leher, dan semua anggota tubuh kami dipukul hingga pernah kaki saya patah. Saya merasa tidak aman dengan ini",High
88,Fisik,Tetangga saya jahat banget. Dia suka nyiram anaknya pake air panas,Low
89,Fisik,"Ibu saya selalu mendapatkan kekerasan dari saudara laki-lakinya, tapi tidak ada yang berani melawan",High
90,Fisik,"Pacar saya sering main tangan sama saya. Sebenarnya sekarang udah putus, tapi dia masih sering meneror saya. Saya mau lepas dari dia",High
91,Fisik,"Anak saya ditahan oleh bapaknya dan tidak boleh bertemu dengan saya. Selama ia bersama dengan bapaknya, ia selalu dianiaya hingga sering masuk ke rumah sakit",High
92,Fisik,"Kakak aku nakal banget. Dia suka main tangan sama aku, nampar lah, nyubit lah, mukul lah",High
93,Fisik,Ibu saya sering disiksa hingga masuk ke rumah sakit,Low
94,Fisik,Ayah sering banget mukulin ibu dan main tangan,Low
95,Fisik,Staff di institusi X melakukan penganiayaan kepada adik saya hingga adik saya masuk ke rumah sakit dan perlu dirawat hingga sekarang,High
96,Fisik,"Ibu kasar banget sama aku, dia suka main tangan kalo aku nakal",High
97,Fisik,"Kakak sudah menikah, dan ia sering mengalami kekerasan dalam rumah tangga dan sering masuk ke rumah sakit. Ia juga menjadi pasien di rumah sakit jiwa sekarang karena mentalnya terganggu",High
98,Fisik,Sekolah X suka banget nyiramin air comberan ke anak didiknya sebagai hukuman.,High
99,Fisik,Om saya sering memukul tante saya ketika sedang mabuk dan kalah judi,High
100,Fisik,Tetangga saya menggunakan narkoba. Dia sering menganiaya anak-anaknya kalau sedang mabuk,Low
101,Fisik,"Om saya sudah bercerai dengan istrinya, dan ia menahan istrinya untuk bertemu dengan anak-anaknya, padahal anak-anaknya sering disiksa",Low
102,Fisik,Mantan suami saya masih sering menganiaya saya padahal sudah bercerai. Ia juga kerap kali melakukan teror untuk membunuh saya setiap saya tidak mau memberikannya uang..,High
103,Fisik,"Saya menikah sirih dengan lelaki yang kasar, dengan seenaknya ia melakukan kekerasan pada saya",High
104,Fisik,Saya menemukan seorang guru TK yang katanya mendisiplinkan anak berumur 5 tahun dengan membuka baju dan menyiramkan air dingin kepadanya. Kejadian ini sudah lama terulang. Tolong proses segera,High
105,Fisik,"Apakah pantas anak umur 9tahun kls 4 SD cuma karna bercanda harus menerima hukuman visik,ini sedang aku alami anaku mendapat kekerasan visik dari gurunya sekarang dia g mau sekolah lg.",Low
106,Fisik,Saya minta tolong ada keponakanku d perkosa sama ayahh tirinya tp ibu kandungnya tidak percaya karna kejadiannya Medium tahun yg lalu tp anaknya baru bilang sekarang sama saya.,High
107,Fisik,Anak saya mengalami kekerasan fisik dan batin dikarenakan membongkar kecurangan USBN dan UNBK di sekolah. Dia dipukuli dan dimaki oleh staff sekolah,High
108,Fisik,"Di sekolah X, tempat anak saya sekolah, menghukum anak didiknya dengan menyiram air kotoran. Tolong segera diusut",Low
109,Fisik,"Pacar saya telah menghamili saya, namun dia tidak mau bertanggung jawab",High
110,Fisik,"Kak saya berumur HighLow tahun, hidup di tengah-tengah keluarga temperamental yang selalu memukul dan menganiaya saya untuk melepaskan emosinya.",High
111,Fisik,"Anak tetangga saya dengan mamanya dipukulin dan dibanting di depan banyak orang. Tapi nggak ada satupun yang berani bertindak, akhirnya saya membuat laporan ini",Low
112,Fisik,"Saya sudah pisah dengan mantan suami selama Medium bulan, tapi selama Medium bulan itu dia selalu meneror untuk membunuh saya. Saya ingin lepas darinya..",Low
113,Fisik,"Adek saya kelas 6 SD gamau sekolahh, gamau ikut ekskul, gamau bersosialisasi, dia cuma diam aja di rumah. Bagaimana cara membujuknya?",High
114,Fisik,Ada kasus pencabulan di SLB dekat rumah. Belum tertangani dengan baik sampai sekarang karena kasus masih sering terjadi,High
115,Fisik,Anak saya sering dibully sama anak-anak sekampung berikut dengan orang tuanya. Saya tidak bisa menolong karena daya kerja,High
116,Fisik,"Kenalan saya berumur HighLow tahun telah dihamili oleh seorang laki-laki, tapi laki-laki tersebut tidak mau mengaku sedangkan kenalan saya mengadu pada orang tuanya.",Low
117,Fisik,Saya selalu dipukul dengan benda tumpul setiap melakukan sebuah kesalahan kecil oleh ayah saya,High
118,Fisik,"Sering terdengar teriakan di rumah tetangga saya. Setelah ditelusuri ternyata anaknya sering disiksa oleh ibunya. Dia disiram air panas, bibirnya diberi balsam, dan sering mendapatkan kekerasan fisik",Low
119,Fisik,Ibu saya sering menusuk saya dengan benda tajam di bagian perut. Saya sudah sering bolak-balik rumah sakit,High
120,Fisik,Tante saya sering memukul sepupu saya ketika sedang emosi,Low
121,Fisik,Ayah suka banget mukulin dengan keras kalo aku nakal sedikit. Ga jarang aku ke dokter gara-gara perlakuan ayah,Low
122,Fisik,Bunda suka ngelindungin aku kalau ayah lagi emosi. Biasanya ayah bakal main fisik kayak mukul aku,High
123,Fisik,Kalau mamah emosi biasanya suka mukul aku,Low
124,Fisik,Kalau papah emosi biasanya main tangan sama aku,High
125,Fisik,Keluarga saya baik dari sisi ayah maupun ibu suka menganiaya saya. Mereka bagaikan kompak ingin saya lenyap dari dunia ini,High
126,Fisik,Kejadiannya baru terjadi minggu lalu. saya lihat tetangga yaitu seorang IRT sedang memukuli anaknya setelah mengambil rapot,Low
127,Fisik,Suami saya seringkali main tangan hingga dilihat oleh anak. Saya seringkali terpikirkan untuk bunuh diri tapi saya punya tanggung jawab terhadap anak,Low
128,Fisik,Kepala saya rasanya mau pecah mendengar pertengkaran hebat dari pasutri sebelah rumah.masalahnya mereka mulai mengganggu warga dengan suara bantingan benda tumpul,Low
129,Fisik,Perginya ibu dar rumsh menyebabkan ayah melampiarskan rmosinya dengan tangan pads saya,High
130,Fisik,Kakak saya sering melakukan kekerasan fisik pada saya.,High
131,Fisik,Kapanya keluargaku harmonis? ayah dan ibu kalau emosi pasti mukulin aku,Low
132,Fisik,Ayah sering memukul bunda dengan pentungan,Low
133,Fisik,Ibu suka memukul ayah dengan benda tumpul,Low
134,Fisik,Ayah kerapkali melakukan pengainayaan terhadap ibu,Low
135,Fisik,Papa sama mama kerap bertengkar tapi main fisik hingga mamah sering lebam lebam,Low
136,Fisik,Saya sering lebam karena dipukuli ayah,High
137,Fisik,ibu sering memukul saya membuat saya lebam-leban,High
138,Fisik,kakak saya memukuli saya hingga lebam setiap dia emosi,High
139,Fisik,saya kerap kali dipukuli hingga lebam oleh boss jika tidak menuruti permintaannya diluar pekerjaan,High
140,Fisik,ayah enteng banget nendang saya kalau dia lagi emosi,Low
141,Fisik,tetangga saya suka menganiaya bayinya jika bayinya berisik. Bayinya sering terluka,High
142,Fisik,"kenalan saya sekolah di SMP A, dia terkena bully hingga dipukuli, ditendang, ditampar dan dianiaya kelompoknya",Low
143,Fisik,Ibu aku suka mukulin aku,Low
144,Fisik,Ayah suka mukul orangnya. Dia bisa mukul seluruh keluarganya tanpa terkecuali,Low
145,Fisik,Suami saya orangnya sangat bengis. Dia tanpa segan bisa menyakiti saya dengan pisau,Low
146,Fisik,Suami saya suka bermain tangan,High
147,Fisik,Kemarin di taman saya menemukan tetangga yang sedang memukuli anak-anak,High
148,Fisik,Di puskesmas saya menemukan orang yang semena-mena dalam bekerja. Ia sangat kasar pada perempuan,Low
149,Fisik,"Menantu saya sangat kasar terhadap saya. Dia sering bermain tangan seperti memukuli saya, tapi saya tidak berani membicarakan ini kepada anak saya (suaminya)",High
150,Fisik,"Mertua saya suka bermain fisik seperti menampar, memukul, menendang saya ketika beliau sedang emosi.",High
151,Psikis,Ayah saya sering memanggil saya anak setan. Saya sangat sakit hati,Low
152,Psikis,"Suami saya seperti tidak menyayangi saya. Ketika saya tanya untuk apa saya menjadi istrinya, dia bilang saya adalah pembantu",Low
153,Psikis,Saya sering disebut dengan sebutan binatang oleh orang tua saya.,High
154,Psikis,"Orang tua saya kerap kali bertengkar dan mengatai saya dengan kata-kata yang menyakitkan seperti iblis, anjing, babi, dan kata kasar lainnya.",High
155,Psikis,"Kemarin tetangga saya ribut besar dengan suaminya. Suaminya sangat kasar, ia mengata-ngatai istrinya dengan sebutan anjing",High
156,Psikis,"Teman saya albino, dia sering kali dibully oleh teman-temannya. Dia sering dipandang rendah, dikucilkan, dan dipermalukan. Saya tidak berani membelanya karena saya pasti akan dibully juga",Low
157,Psikis,Teman saya adalah anak berkebutuhan khusus. Dia sering dibully baik fisik dan psikis. ,High
158,Psikis,Pagi tadi ada tetangga saya yang berteriak pada anaknya memaki-maki dengan sebutan anak setan sampai anak itu menangis sesenggukan,High
159,Psikis,Di sekolah Y menghukum murid-muridnya dengan menggantungkan sepatu di lehernya dan berlari keliling pusat pemerintahan,Low
160,Psikis,Institusi B sangat mengecewakan. Mereka mempermalukan staffnya di depan khalayak publik dengan menceritakan aib-aib yang mereka punya,Low
161,Psikis,Terjadi perpeloncoan di TK A. Mereka disuruh memakai atribut-atribut aneh. Hukumannya adalah dijemur dan dipertontonkan di depan sekolah,High
162,Psikis,Anak tentangga saya sering direndahkan oleh tetangga lainnya karena memiliki keterbatasan mental,High
163,Psikis,"Kemarin pak X, guru saya di sekolah, mengata-ngatai saya di depan kelas sebagai anak idiot",Low
164,Psikis,Aku benci banget sama ibu yang kalo lagi marah suka ngata-ngatain aku pake ucapan kasar.,High
165,Psikis,Aku gasuka sama temen sebangku aku yang ngomongnya kasar dan cenderung malu-maluin aku karena nyebar rahasia aku,High
166,Psikis,Saya dihamili pacar dan sekarang sudah melahirkan anak kembar. Tapi pacar saya tidak mau bertanggung jawab dan kabur. Padahal saya masih sekolah SMK,Low
167,Psikis,"Papa aku kalau ngomong suka kasar banget. Aku dikatain idiot lah, bego lah, goblok lah, anak gatau diuntung. Sakit sekali dengarnya. Ini aku nulis juga sambil nangis. Aku harap ada penyelesaian buat papa aku karena aku ga berani untuk bilang",Low
168,Psikis,Jadi aku pernah hamil saat SMP dan melakukan aborsi. Ibu aku sangat marah dan suka mengungkit-ungkit hal tersebut padahal aku sudah mengaku menyesal. Dia juga suka cerita ke tetangga. Sakit sekali rasanya. Aku gak bisa ngelawan.,High
169,Psikis,Suami saya sering mengurung saya dan tidak membolehkan saya keluar. Saya kan juga ingin memiliki kehidupan di luar rumah.. Tapi dia selalu melarang dan mengancam saya jika saya berani membantah,Low
170,Psikis,Ibu saya sering tidak percaya pada saya dan merendahkan kemampuan saya hingga saya sangat ketakutan untuk hidup dan pernah berpikir untuk bunuh diri,Low
171,Psikis,"Ibu selalu maksa aku untuk belajar dan belajar. Kalau tidak belajar satu hari, akan dibangunkan tengah malam dan tidak diberi makan..",Low
172,Psikis,"Saya dan suami sudah bercerai, namun saya selalu dikata-katai dan dimaki-maki setiap hari. Saya ingin lepas darinya",High
173,Psikis,Tetangga saya sering marah-marah setiap malam karena percekcokan. Sering kali sang istri dikatai  dengan kata-kata kasar.,Low
174,Psikis,"Ibu saya sering memaksa saya belajar keras, sehingga saat saya pergi ke psikolog, saya didiagnosis memiliki gangguan skizofrenia",High
175,Psikis,Kakak tiri saya sering memaksa saya melakukan hal yang dia inginkan. Dia sering memfitnah dan mempermalukan saya di depan keluarga besar,Low
176,Psikis,Kemarin sore saya bertemu dengan anak laki-laki yang mengatai ibunya dengan kata-kata yang sangat kasar yang tidak pantas diucapkan.,Low
177,Psikis,Tetangga saya memiliki anak laki-laki berumur Medium0 tahunan yang sangat tidak sopan pada ibunya. Dia menempeleng kepala ibunya dan pernah menginjak kepala ibunya. Sangat tidak hormat pada orang tua,High
178,Psikis,"Papa saya pengangguran, dua hari lalu saya pergoki bertemu dengan wanita lain. Di rumah dia sering mengambil uang mama (mama adalah wanita karir) dan mengata-ngatai mama. Mama ingin bercerai namun mama sering diancam",High
179,Psikis,"Ibu baru saja meninggal Medium hari lalu, tapi bapak tidak mengurusi dan bahkan mencari wanita lain di luar. Saya sangat sakit melihatnya. Setiap hari setelah pualng bekerja, papa sangat emosi pada saya karena mengingatkan pada mama dan mulai mengatai saya anak setan",High
180,Psikis,Aku pergi ke sekolah J kemarin dan ngeliat ada bullying pada seorang anak sekolah yang memiliki rambut keriting,High
181,Psikis,Ayah sering sekali mencubit dan mengatai aku,Low
182,Psikis,"Kemarin sore aku pergi ke taman dan lihat pembullyian anak SD oleh suatu geng. Ia dipermalukan bersama teman-temannya. Saya akhirnya mencoba melindunginya, tapi saya takut hal tersebut akan terjadi kembali.",Low
183,Psikis,Orang tua saya sering merendahkan saya di depan tetangga,Low
184,Psikis,Saya sering dibanding-bandingkan oleh ibu saya dengan orang lain,Low
185,Psikis,Orang tua saya sering memaksa saya untuk memakai pakaian laki-laki padahal saya adalah seorang perempuan,High
186,Psikis,Orang tua saya kerap kali memaksa saya untuk belajar penuh dan tidak akan memberikan makan jika tidak belajar,Low
187,Psikis,Anak tetangga sering mengeluh dipaksa belajar oleh kedua orang tuanya. Biasanya ia hanya istirahat untuk makan. Dia dilarang bermain sama teman-temannya,High
188,Psikis,Saya sering dimaki-maki ibu saya jika tidak melaksanakan pekerjaan dengan benar. Ia juga suka merendahkan saya,High
189,Psikis,"Saya takut dengan bapak saya. Dia selalu memiliki tatapan merendahkan setiap bertemu saya. Setelah saya telusuri, ternyata saya bukanlah anak kandungnya. Saya adalah anak diluar hamil ibu dengan laki-laki lain.",Low
190,Psikis,"Karena pacar saya populer dan tampan, saya sering dibully oleh perempuan-perempuan di kelas. Mereka menyuruh saya putus dan mulai merendahkan saya",Low
191,Psikis,"Pacark saya ini cantik. Mungkin karena itu dia dibully oleh teman sekelasnya, apalagi tahu bahwa ia ternyata memiliki pacar. Teman-temannya memandang pacar saya dengan tatapan tidak suka dan kerap kali merendahkannya dengan mengatakan ""cantik doang gaada otak"" padahal pacar saya sering masuk rangking.",Low
192,Psikis,"Ibu aku bipolar dan suka ngga stabil emosinya. Aku masih SMP dan sering merasa ngga berharga di depannya, soalnya ibu sering ngatain aku anak ngga berguna. Aku sedih banget.",Low
193,Psikis,Menantu sayasangat tidak menghargai saya sebagai menantu. Mungkin karena anak pertamanya saya nikahi. Dia sering mengatai saya mantu tidak berguna dan berucap kata-kata kasar,Low
194,Psikis,Ibu aku suka banget maksa dengan nada yang kasar. Dia ngatain aku ga berguna tapi ngarepin bantuan aku.. Aku benci banget sama ibu,Low
195,Psikis,Saya dibully karena tidak mau memberikan jawaban ujian oleh kelompok anak-anak yang jarang belajar. Saya sering diancam setiap pulang sekolah kalau tidak memberikan jawaban,High
196,Psikis,"Saya gendut dan tidak menarik. Saya sering dibully karena itu, mereka merendahkan saya setiap saya datang ke sekolah",High
197,Psikis,Ayah aku bipolar dan suka membuat ibu merasa tidak berguna. Dia sering memaki ibu hanya berguna sebagai pembantu dan pemuas nafsu saja. Ibuku sangat sedih hingga menangis setiap hari.,High
198,Psikis,"Kakak aku Anak Berkebutuhan Khusus, dia sering  dipermainkan oleh teman sekolahnya dan diketawakan karena keterbataasannya",High
199,Psikis,Papa saya suka menyuarakan isi kepalanya tapi kerap kali dengan kata-kata yang kasar,High
200,Psikis,"Tetangga saya benci sekali dengan anaknya. Dia ga segan-segan untuk mukul atau ngata-ngatain anaknya babi, anjing, monyet, dan segala umpatan binatang lainnya",High
201,Psikis,Saya sudah capek dengan perilaku ibu saya yang abusive. Dia tidak pernah sekalipun memberikan rasa kasih sayang pada saya. Sejak kecil saya diasuh oleh nenek. Ibu saya membenci saya karena mengingatkan pada bapak. Bapak sudah lama meninggalkan ibu sejak saya lahir,High
202,Psikis,Saya letih dengan ucapan ibu saya yang terus-terusan menghujat saya karena saya gagal masuk sekolah negeri,High
203,Psikis,"Biasanya aku selalu bareng ibu, tapi semenjak ibu ditinggal ayah tanpa kejelasan, ibu jadi mudah stress dan ngelampiasin semua emosinya ke aku.. aku sedih dan gatau harus bantu gimana.",High
204,Psikis,"Ayah aku suka banget marahin aku dengan kata kasar, emang ngga main tangan sih, tapi kata-katanya nyakitin banget",High
205,Psikis,"Sebelumnya aku pikir ibu ngga kenapa-napa, tapi semenjak ditinggal ayah, ibu jadi semakin emosional dan ngelontarin emosinya ke aku dengan umpatan kasar",High
206,Psikis,Aku sering banget dirasisin temen temen karena kulitnya hitam,High
207,Psikis,Papa saya seringkali menghina saya sebagai anak buangan semenjak mama saya meninggal,High
208,Psikis,Kemarin tetangga saya mempermalukan anak temannya dengan tindakan rasisme. Dia menghina anak tersebut berdasarkan warna kulit yang berbeda dengan ibunya.,Low
209,Psikis,"Sejak kecil, ayah saya tidak menyukai penampilan saya. Warna kulit dan wajah saya berbeda dengan keluarga yang lain. Ayah saya sangat membenci saya dan memaksa saya harus melakukan operasi plastik ketika sudah besar nanti.",High
210,Psikis,"Setelah melahirkan, suami saya tidak pernah peduli dengan saya. Ia bilang fisik saya jelek dan ia tidak suka lagi. Sekarang ia pergi dengan wanita lain. Saya sangat stress akan hal ini",Low
211,Psikis,"Ibu saya baru saja menikah lagi dengan pria luar negeri. Tapi pernikahan mereka tidak harmonis. Kerap kali ibu saya dikatakan kata-kata umpatan setiap kali dia mabuk. Ibu saya dikatai pelacur, bajingan, bodoh, tolol, dan kata-kata menyakitkan lainnya.",High
212,Psikis,Beberapa hari lalu sekolah A memarahi murid dengan membawa-bawa ras. Apakah pantas sekolah TK berbuat demikian?,Low
213,Psikis,Om aku suka berbuat kasar pada mama,High
